realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,is_weekend,City
474.3174994763423,Entire home/apt,False,False,4.0,False,0,1,10.0,91.0,1,1.111996477976483,0.6304909460189917,526.4694202447247,17.942926962147965,915.5870827687068,20.1548895790265,2.17556,41.39624,0,Barcelona
169.89782856610887,Private room,False,True,2.0,True,1,0,10.0,88.0,1,1.751839016015303,0.1240171717644669,320.12752551210633,10.910462389566376,794.2773503129439,17.48448901470924,2.14906,41.38714,0,Barcelona
161.98477901645447,Private room,False,True,4.0,False,0,1,9.0,88.0,1,1.6704928969848185,0.0803219762945512,344.07393595254723,11.72659467952677,840.6736172628903,18.50581364330432,2.15357,41.37859,0,Barcelona
367.9568040589289,Entire home/apt,False,False,3.0,False,0,1,10.0,91.0,1,1.475846518082221,0.0931068646481732,400.0574494539389,13.63460311308965,946.589883919022,20.837356649155502,2.16839,41.3739,0,Barcelona
196.89529173551793,Private room,False,True,3.0,False,1,0,9.0,91.0,1,1.8554523875617357,0.2724860488448007,346.04224486126867,11.793677821737989,792.2960390372838,17.440874255682875,2.15238,41.37699,0,Barcelona
330.9516605767216,Entire home/apt,False,False,3.0,False,0,1,9.0,100.0,2,2.56561144538374,0.7012904474128752,391.0874019298987,13.328889426061002,525.5139017194555,11.56817834232667,2.18197,41.40842,0,Barcelona
141.27120813647682,Private room,False,True,3.0,False,0,1,9.0,86.0,1,1.6483044059080143,0.0894267254233426,342.5968430512519,11.676252971110106,820.9265676695487,18.071120306585524,2.15342,41.37912,0,Barcelona
173.3888798380152,Private room,False,True,2.0,False,0,0,9.0,96.0,1,1.474227862111036,0.590519404106601,448.4056158207572,15.282386601578583,752.7588763697871,16.570539622496806,2.18195,41.39691,0,Barcelona
225.7546489166104,Private room,False,True,4.0,False,1,0,9.0,84.0,1,0.9626548851516769,0.356133898715912,791.8737456586989,26.9883344316406,1885.5346272618576,41.50642022490588,2.17742,41.3805,0,Barcelona
150.58067819489375,Private room,False,True,2.0,False,1,0,9.0,91.0,1,1.819599926166855,0.2856012819672106,361.1992095620816,12.310251624767464,806.236687179304,17.74775082619196,2.157,41.373999999999995,0,Barcelona
194.33518746945327,Private room,False,True,2.0,False,1,0,9.0,84.0,1,1.011673847628958,0.371659717830789,530.5220848322261,18.08104830766091,1189.497812942824,26.184507760702463,2.16895,41.37806,0,Barcelona
190.84413619754693,Private room,False,True,2.0,True,1,0,10.0,98.0,1,2.214067238602181,0.376016848359388,589.7332964686169,20.09906189948204,647.2490052387491,14.247942632909757,2.17853,41.40602,0,Barcelona
387.5066911816044,Private room,False,True,2.0,False,1,0,9.0,91.0,1,1.5493718616401952,0.5760611356393729,394.1508318300387,13.433296057933983,780.6114289479832,17.183660026085313,2.18778,41.3911,0,Barcelona
248.56285055973183,Private room,False,True,2.0,True,0,0,10.0,95.0,1,0.7409052928219434,0.270107575568292,566.6504594901032,19.31236158592515,1145.7439394800836,25.221350345211707,2.17806,41.38993,0,Barcelona
136.38373635580794,Private room,False,True,3.0,False,0,1,9.0,84.0,1,1.6881515652165775,0.102537308785363,342.3747475635525,11.668683598680914,826.0136877793922,18.183103476748972,2.15326,41.37865,0,Barcelona
117.99753299043452,Private room,False,True,2.0,False,1,0,8.0,84.0,1,2.5774670088452263,0.0504922053196299,289.92047271053934,9.880957310414166,590.0639134566637,12.989122765170771,2.14385,41.37486,0,Barcelona
150.58067819489375,Private room,False,True,2.0,False,1,0,8.0,87.0,1,0.250320516056379,0.2528176432539952,574.4172772437153,19.577067261739323,1438.2013104025184,31.65923717044896,2.16704,41.38741,0,Barcelona
1041.4969627853934,Entire home/apt,False,False,6.0,True,0,0,10.0,99.0,3,1.888740219991341,0.1377725911348623,1335.1308497481652,45.503412735360904,781.267568458616,17.198103676104108,2.173,41.404,0,Barcelona
